Company Code,Company Name,Sector
1010,الرياض,القطاع المالي
1020,الجزيرة,القطاع المالي
1030,الإستثمار,القطاع المالي
1050,بي اس اف,القطاع المالي
1060,الأول,القطاع المالي
1080,العربي,القطاع المالي
1111,مجموعة تداول,القطاع المالي
1120,الراجحي,القطاع المالي
1140,البلاد,القطاع المالي
1150,الإنماء,القطاع المالي
1180,الأهلي,القطاع المالي
1182,أملاك,القطاع المالي
1183,سهل,القطاع المالي
1201,تكوين,الصناعات التحويلية
1202,مبكو,الصناعات التحويلية
1210,بي سي آي,الصناعات التحويلية
1211,معادن,المعادن الأخرى - غير مصادر الطاقة
1212,أسترا الصناعية,تكنولوجيا الصحة
1213,نسيج,السلع الاستهلاكية المُعمرة
1214,شاكر,خدمات التوزيع
1301,أسلاك,الصناعات الموجهة للمنتجين
1302,بوان,المعادن الأخرى - غير مصادر الطاقة
1303,الصناعات الكهربائية,الصناعات الموجهة للمنتجين
1304,اليمامة للحديد,الصناعات الموجهة للمنتجين
1320,أنابيب السعودية,المعادن الأخرى - غير مصادر الطاقة
1321,أنابيب الشرق,المعادن الأخرى - غير مصادر الطاقة
1322,أماك,المعادن الأخرى - غير مصادر الطاقة
1323,يو سي آي سي,الصناعات التحويلية
1324,صالح الراشد,خدمات التوزيع
1810,سيرا,القطاع المالي
1820,بان,خدمات المستهلك
1830,لجام للرياضة,خدمات المستهلك
1831,مهارة,الخدمات التجارية
1832,صدر,الصناعات الموجهة للمنتجين
1833,الموارد,الخدمات التجارية
1834,سماسكو,الخدمات التجارية
1835,تمكين,الخدمات التجارية
2010,سابك,الصناعات التحويلية
2020,سابك للمغذيات الزراعية,الصناعات التحويلية
2030,المصافي,القطاع المالي
2040,الخزف السعودي,الصناعات الموجهة للمنتجين
2050,مجموعة صافولا,الصناعات التحويلية
2060,التصنيع,الصناعات الموجهة للمنتجين
2070,الدوائية,تكنولوجيا الصحة
2080,الغاز القابضة,خدمات
2081,الخريف,الخدمات الصناعية
2082,أكوا,خدمات
2083,مرافق,خدمات
2084,مياهنا,خدمات
2090,جبسكو,المعادن الأخرى - غير مصادر الطاقة
2100,وفرة,مستهلك - غير معمرة
2110,الكابلات السعودية,الصناعات الموجهة للمنتجين
2120,متطورة,القطاع المالي
2130,صدق,السلع الاستهلاكية المُعمرة
2140,أيان,الخدمات الصناعية
2150,زجاج,الصناعات التحويلية
2160,أميانتيت,المعادن الأخرى - غير مصادر الطاقة
2170,اللجين,الصناعات التحويلية
2180,فيبكو,الصناعات التحويلية
2190,سيسكو القابضة,وسائل النقل
2200,أنابيب,المعادن الأخرى - غير مصادر الطاقة
2220,معدنية,المعادن الأخرى - غير مصادر الطاقة
2222,أرامكو السعودية,معادن الطاقة
2223,لوبريف,معادن الطاقة
2230,الكيميائية,الصناعات التحويلية
2240,صناعات,الصناعات الموجهة للمنتجين
2250,المجموعة السعودية,الصناعات التحويلية
2270,سدافكو,مستهلك - غير معمرة
2280,المراعي,مستهلك - غير معمرة
2281,تنمية,مستهلك - غير معمرة
2282,نقي,مستهلك - غير معمرة
2283,المطاحن الأولى,الصناعات التحويلية
2284,المطاحن الحديثة,الصناعات التحويلية
2285,المطاحن العربية,الصناعات التحويلية
2286,المطاحن الرابعة,الصناعات التحويلية
2287,إنتاج,الصناعات التحويلية
2288,نفوذ,مستهلك - غير معمرة
2290,ينساب,الصناعات التحويلية
2300,صناعة الورق,الصناعات التحويلية
2310,سبكيم العالمية,الصناعات التحويلية
2320,البابطين,الصناعات الموجهة للمنتجين
2330,المتقدمة,الصناعات التحويلية
2340,ارتيكس,السلع الاستهلاكية المُعمرة
2350,كيان السعودية,الصناعات التحويلية
2360,الفخارية,الصناعات الموجهة للمنتجين
2370,مسك,الصناعات الموجهة للمنتجين
2380,بترو رابغ,معادن الطاقة
2381,الحفر العربية,الخدمات الصناعية
2382,أديس,الخدمات الصناعية
3002,أسمنت نجران,المعادن الأخرى - غير مصادر الطاقة
3003,أسمنت المدينة,المعادن الأخرى - غير مصادر الطاقة
3004,أسمنت الشمالية,المعادن الأخرى - غير مصادر الطاقة
3005,أسمنت ام القرى,المعادن الأخرى - غير مصادر الطاقة
3007,الواحة,الصناعات التحويلية
3008,الكثيري,خدمات التوزيع
3010,أسمنت العربية,المعادن الأخرى - غير مصادر الطاقة
3020,أسمنت اليمامة,المعادن الأخرى - غير مصادر الطاقة
3030,أسمنت السعودية,المعادن الأخرى - غير مصادر الطاقة
3040,أسمنت القصيم,المعادن الأخرى - غير مصادر الطاقة
3050,أسمنت الجنوب,المعادن الأخرى - غير مصادر الطاقة
3060,أسمنت ينبع,المعادن الأخرى - غير مصادر الطاقة
3080,أسمنت الشرقية,المعادن الأخرى - غير مصادر الطاقة
3090,أسمنت تبوك,المعادن الأخرى - غير مصادر الطاقة
3091,أسمنت الجوف,المعادن الأخرى - غير مصادر الطاقة
3092,أسمنت الرياض,المعادن الأخرى - غير مصادر الطاقة
4001,أسواق ع العثيم,تجارة التجزئة
4002,المواساة,الخدمات الصحية
4003,إكسترا,القطاع المالي
4004,دله الصحية,الخدمات الصحية
4005,رعاية,الخدمات الصحية
